Address,Name Tag,Balance,Percentage,Txn Count
"0x00000000219ab540356cbb839cbe05303d7705fa","Beacon Deposit Contract","51,680,330.45543331 ETH","42.92905633%","550,290"
"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","2,934,960.91000413 ETH","2.43797014%","17,986,148"
"0xbe0eb53f46cd790cd13851d5eff43d12404d33e8","Binance 7","1,996,008.38889203 ETH","1.65801487%","1,609"
"0x40b38765696e3d5d8d9d834d8aad4bb6e418e489","Robinhood","1,363,194.72950939 ETH","1.13235854%","138"
"0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a","Arbitrum: Bridge","1,284,519.39446108 ETH","1.06700567%","51"
"0xda9dfa130df4de4673b89022ee50ff26f6ea73cf","Kraken 13","731,253.52375598 ETH","0.60742692%","513"
"0xf977814e90da44bfa03b6295a0616a897441acec","Binance: Hot Wallet 20","726,957.29055738 ETH","0.60385818%","15,838"
"0x49048044d57e1c92a77f79988d21fa8faf74e97e","Base: Base Portal","589,693.39355639 ETH","0.48983783%","1,077,495"
"0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503","Binance: Binance-Peg Tokens","584,999.04884119 ETH","0.48593840%","92"
"0xa6715eafe5d215b82cb9e90a9d6c8970a7c90033","","526,059.10778228 ETH","0.43697904%","166"
"0xbeb5fc579115071764c7423a4f12edde41f106ed","","503,415.65302116 ETH","0.41816991%","22,996"
"0xe92d1a43df510f82c66382592a047d288f85226f","Bitfinex 19","450,118.32841318 ETH","0.37389767%","473"
"0x742d35cc6634c0532925a3b844bc454e4438f44e","Bitfinex 2","414,116.85694837 ETH","0.34399250%","21,669"
"0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea","Gemini 3","369,498.96536194 ETH","0.30692996%","774"
"0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca","","325,000.48233465 ETH","0.26996662%","115"
"0x3bfc20f0b9afcace800d73d2191166ff16540258","Polkadot: MultiSig","306,276.63547139 ETH","0.25441337%","524"
"0x0e58e8993100f1cbe45376c410f97f4893d9bfcd","","305,620.72677714 ETH","0.25386853%","15,798"
"0x8103683202aa8da10536036edef04cdd865c225e","Bitfinex 20","275,000.03347903 ETH","0.22843298%","60"
"0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae","EthDev","271,274.06559927 ETH","0.22533795%","2,637"
"0xafcd96e580138cfa2332c632e66308eacd45c5da","","269,207.42274413 ETH","0.22362126%","301"
"0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c","Bitfinex: MultiSig 3","268,053.76046368 ETH","0.22266295%","128"
"0x8696e84ab5e78983f2456bcb5c199eea9648c8c2","Coincheck Cold 2","266,572.57610429 ETH","0.22143258%","686"
"0x0a4c79ce84202b03e95b7a692e5d728d83c44c76","","254,248.45402581 ETH","0.21119536%","56"
"0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9","Rain Lohmus","250,000.0239164 ETH","0.20766634%","76"
"0x539c92186f7c6cc4cbf443f26ef84c595babbca1","OKX 73","250,000.00963043 ETH","0.20766633%","20"
"0x868dab0b8e21ec0a48b726a1ccf25826c78c6d7f","OKX 76","250,000.00193397 ETH","0.20766632%","27"
"0xbfbbfaccd1126a11b8f84c60b09859f80f3bd10f","OKX 93","250,000.00186287 ETH","0.20766632%","29"
"0x1b3cb81e51011b549d78bf720b0d924ac763a7c2","","243,300.00438497 ETH","0.20210087%","215"
"0x220866b1a2219f40e72f5c628b65d54268ca3a9d","Vb 3","240,000.0295642 ETH","0.19935969%","174"
"0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4","Bybit: Hot Wallet 1","235,346.7688584 ETH","0.19549439%","132,497"
"0x28c6c06298d514db089934071355e5743bf21d60","Binance 14","216,767.51431491 ETH","0.18006125%","20,757,758"
"0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d","Paxos 2","205,225.27253603 ETH","0.17047351%","62"
"0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28","","187,068.19582354 ETH","0.15539106%","43"
"0x94dbf04e273d87e6d9bed68c616f43bf86560c74","","186,108.80583545 ETH","0.15459412%","5,855"
"0xd3a22590f8243f8e83ac230d1842c9af0404c4a1","Ceffu: Custody Hot Wallet 2","184,724.48434424 ETH","0.15344422%","485"
"0xf3b0073e3a7f747c7a38b36b805247b222c302a3","Crypto.com 6","183,377.49116848 ETH","0.15232532%","345,636"
